"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"rtqbb:Band_Bin_RTQBB130614:2           rtqbb:center_wavelength_RTQBB130614:1 ","Attribute","center_wavelength_RTQBB130614","n/a","rtqbb","The center_wavelength attribute provides the wavelength or frequency describing the center of a bin along the band axis of a spectral qube. When describing data from a spectrometer, the value corresponds to the peak of the response function for a particular detector and/or grating position.","rtqbb","ASCII_Real","1","1","0","Unbounded","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"rtqbb:Band_Bin_RTQBB130614:2           rtqbb:detector_number_RTQBB130614:1   ","Attribute","detector_number_RTQBB130614","n/a","rtqbb","The detector_number attribute provides the spectrometer detector number corresponding to a band of a spectral qube. Detector numbers are usually assigned consecutively from 1, in order of increasing wavelength.","rtqbb","ASCII_Integer","0","1","1","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"rtqbb:Band_Bin_RTQBB130614:2           rtqbb:filter_number_RTQBB130614:1     ","Attribute","filter_number_RTQBB130614","n/a","rtqbb","The filter_number attribute of a spectral qube describes the physical location of a band (identified by the band_number) in a detector array. Filter 1 is on the leading edge of the array.","rtqbb","ASCII_Integer","0","1","1","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"rtqbb:Band_Bin_RTQBB130614:2           rtqbb:grating_position_RTQBB130614:1  ","Attribute","grating_position_RTQBB130614","n/a","rtqbb","The grating_position attribute of a spectral qube describes the grating position which corresponds to the band. Grating positions are usually assigned consecutively from 0, and increasing position causes increasing wavelength for each detector.","rtqbb","ASCII_Integer","0","1","0","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"rtqbb:Band_Bin_RTQBB130614:2           rtqbb:original_band_RTQBB130614:1     ","Attribute","original_band_RTQBB130614","n/a","rtqbb","The original_band attribute of a spectral qube provides the sequence of band numbers in the qube relative to some original qube. In the original qube, the values are just consecutive integers beginning with 1. In a qube which contains a subset of the bands in the original qube, the values are the original sequence numbers from that qube.","rtqbb","ASCII_Integer","0","1","1","512","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"rtqbb:Band_Bin_RTQBB130614:2           pds:scaling_factor:1                ","Attribute","scaling_factor","n/a","pds","The scaling_factor attribute is the scaling factor to be applied to each stored value in order to recover an original  value. The observed value (Ov) is calculated from the stored value (Sv) thus: Ov = (Sv * scaling_factor) + value_offset. The default value is 1.","pds","ASCII_Real","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"rtqbb:Band_Bin_RTQBB130614:2           pds:standard_deviation:1            ","Attribute","standard_deviation","n/a","pds","The standard_deviation attribute provides the standard deviation of the stored array element values after application of any bit mask (Special_Constants values are excluded from the computation).","pds","ASCII_Real","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"rtqbb:Band_Bin_RTQBB130614:2           pds:value_offset:1                  ","Attribute","value_offset","n/a","pds","The value_offset attribute is the offset to be applied to each stored value in order to recover an original  value. The observed value (Ov) is calculated from the stored value (Sv) thus: Ov = (Sv * scaling_factor) + value_offset. The default value is 0.","pds","ASCII_Real","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"rtqbb:Band_Bin_RTQBB130614:2           rtqbb:band_number_RTQBB130614_choice:1","Attribute","band_number_RTQBB130614_choice","n/a","rtqbb","The band_number attribute provides a number corresponding to the band in the spectral qube. The band number is equivalent to the instrument band number.","rtqbb","ASCII_Integer","1","*","1","512","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"rtqbb:Band_Bin_RTQBB130614:2           rtqbb:original_band_RTQBB130614_choice:1","Attribute","original_band_RTQBB130614_choice","n/a","rtqbb","The original_band attribute of a spectral qube provides the sequence of band numbers in the qube relative to some original qube. In the original qube, the values are just consecutive integers beginning with 1. In a qube which contains a subset of the bands in the original qube, the values are the original sequence numbers from that qube.","rtqbb","ASCII_Integer","1","*","1","512","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
