"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"geom:Reference_Frame_Identification:2 geom:frame_spice_name:1              ","Attribute","frame_spice_name","n/a","geom","The frame_spice_name attribute is a NAIF-recognized string identifier for a reference frame associated with the data. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Reference_Frame_Identification:2 pds:name:1                          ","Attribute","name","n/a","pds","The name attribute provides a word or combination of words by which the object is known.","pds","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"geom:Target_Identification:1         ","Class","Target_Identification","1.0.0.0","geom","Within the Geometry dictionary context, a "Target" is the body on the "to" end of a vector, or other translation through space. ","geo","","","","","","","","","","",""
"geom:Target_Identification:2          geom:body_spice_name:1               ","Attribute","body_spice_name","n/a","geom","The body_spice_name attribute is a NAIF-recognized string identifier for a physical object (spacecraft, planet, instrument transmitter, system barycenter, etc.), associated with the data. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Target_Identification:2          pds:name:1                          ","Attribute","name","n/a","pds","The name attribute provides a word or combination of words by which the object is known.","pds","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"geom:Coordinate_Space_Index:1        ","Class","Coordinate_Space_Index","1.0.0.0","geom","Identifies a coordinate space using an index value given in an identified list.","geo","","","","","","","","","","",""
"geom:Coordinate_Space_Index:2         geom:index_value_number:1            ","Attribute","index_value_number","n/a","geom","The index_value_number attribute provides the value with no applicable units as named by the associated index_id or index_name. ","geo","ASCII_Real","0","*","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"geom:Coordinate_Space_Index:2         geom:index_sequence_number:1         ","Attribute","index_sequence_number","n/a","geom","The index_sequence_number attribute supplies the sequence identifier for the associated value in a group of related values. ","geo","ASCII_Short_String_Collapsed","0","3","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Coordinate_Space_Index:2         geom:index_name:1                    ","Attribute","index_name","n/a","geom","The index_name attribute supplies the formal name for the associated value in a group of related values. ","geo","ASCII_Short_String_Collapsed","0","3","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Coordinate_Space_Index:2         geom:index_id:1                      ","Attribute","index_id","n/a","geom","The index_id attribute supplies a short name (identifier) for the associated value in a group of related values. ","geo","ASCII_Short_String_Collapsed","0","3","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Coordinate_Space_SPICE:1        ","Class","Coordinate_Space_SPICE","1.0.0.0","geom","Identifies a coordinate space using SPICE names for the frame and origin.","geo","","","","","","","","","","",""
"geom:Coordinate_Space_SPICE:2         geom:body_spice_name:1               ","Attribute","body_spice_name","n/a","geom","The body_spice_name attribute is a NAIF-recognized string identifier for a physical object (spacecraft, planet, instrument transmitter, system barycenter, etc.), associated with the data. ","geo","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Coordinate_Space_SPICE:2         geom:frame_spice_name:1              ","Attribute","frame_spice_name","n/a","geom","The frame_spice_name attribute is a NAIF-recognized string identifier for a reference frame associated with the data. ","geo","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Coordinate_Space_Indexed:1      ","Class","Coordinate_Space_Indexed","1.0.0.0","geom","The Coordinate_Space_Indexed class contains the attributes and classes identifying the indexed coordinate space. ","geo","","","","","","","","","","",""
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:1   ","Attribute","coordinate_space_frame_type","n/a","geom","The coordinate_space_frame_type attribute identifies the frame type for the indexed coordinate space. ","geo","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Coordinate_Space_Indexed:2       geom:solution_id:1                   ","Attribute","solution_id","n/a","geom","The solution_id attribute specifies the unique identifier for the solution set to which the values in the group belong. For certain kinds of information, such as pointing correction (pointing models) and rover localization (coordinate system definitions), the "true" value is unknown and only estimates of the true value exist. Thus, more than one set of estimates may exist simultaneously, each valid for its intended purpose. Each of these sets is called a "solution" to the unknown true value. The solution_id attribute is used to identify which solution is being expressed by the containing group. No specific naming convention is defined here, however it is recommended that projects adopt one. The intent is to be able to identify who created the solution, and why. Possible components of the naming convention include user, institution, purpose, request ID, version, program, date/time. The value is not case-sensitive. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Coordinate_Space_Identification:1","Class","Coordinate_Space_Identification","1.0.0.0","geom","The Coordinate_Space_Identification class uniquely identifies a coordinate space (i.e., reference frame + position) with respect to which the values of the attributes in the containing class are defined. ","geo","","","","","","","","","","",""
"geom:XSChoice#1:1                    ","Class","XSChoice#1","1.0.0.0","geom","TBD_description","TBD_steward","","","","","","","","","","",""
"geom:Reference_Coordinate_Space:1    ","Class","Reference_Coordinate_Space","1.0.0.0","geom","The Reference_Coordinate_Space class includes the attributes that identify the reference coordinate space to be used in relation to the spacecraft's present coordinate space. The reference coordinate space is the space in which the present coordinate space is defined. ","geo","","","","","","","","","","",""
"geom:Coordinate_System_Identification:1","Class","Coordinate_System_Identification","1.0.0.0","geom","The Coordinate_System_Identification class fully describes a coordinate system. This class is typically used for orbiter/flyby geometry while the Coordinate_Space construction is used for lander/rover geometry. Coordinate_System_Identification provides the reference frame, coordinate system type (cartesian, planetocentric, etc.), origin, and the instantiation time of the system when appropriate. The instantiation time (coordinate_system_time) is used when a rotating frame has been 'frozen' at a particular epoch. Instantiation time is not needed for inertial or rotating frames. ","geo","","","","","","","","","","",""
"geom:Coordinate_System_Identification:2 geom:coordinate_system_type:1        ","Attribute","coordinate_system_type","n/a","geom","The coordinate_system_type distinguishes between options such as rectangular, spherical, planetocentric, etc. ","geo","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Coordinate_System_Identification:2 geom:coordinate_system_type:2         Value:Cartesian","Value","Cartesian","","","The coordinate system uses rectangular coordinates. "
"geom:Coordinate_System_Identification:2 geom:coordinate_system_type:2         Value:Azimuth-Elevation","Value","Azimuth-Elevation","","","The coordinate system uses azimuth-elevation coordinates. Azimuth: angle from +X axis to projection of position vector on x-y plane increases in clockwise direction (-180 to +180). Elevation: angle between position vector and x-y plane (-90 to +90). "
"geom:Coordinate_System_Identification:2 geom:coordinate_system_type:2         Value:Spherical","Value","Spherical","","","The coordinate system uses spherical coordinates. Longitude: angle from +X axis to projection of position vector on X-Y plane increases in clockwise direction (0 to 360). Colatitude: angle between +Z axis and position vector (0 to 180). "
"geom:Coordinate_System_Identification:2 geom:coordinate_system_type:2         Value:Planetocentric","Value","Planetocentric","","","The coordinate system uses planetocentric coordinates. Planetocentric longitude increases positively eastward (-180 to +180). Planetocentric latitude increases positively northward (-90 to +90). For planets and their satellites the +Z axis (+90 latitude) always points to the north side of the invariable plane (the plane whose normal vector is the angular momentum vector of the solar system). For dwarf planets, asteroids and comets the IAU defines their positive pole such that their spin is in the right hand sense about their positive pole. The positive pole may point above or below the invariable plane of the solar system. This revision by the IAU Working Group (2006) inverts what had been the direction of the north pole for Pluto, Charon and Ida. "
"geom:Coordinate_System_Identification:2 geom:coordinate_system_type:2         Value:Planetodetic","Value","Planetodetic","","","The coordinate system uses planetodetic coordinates. For planets and their satellites the +Z axis (+90 latitude) always points to the north side of the invariable plane (the plane whose normal vector is the angular momentum vector of the solar system). Planetodetic longitude increases positively eastward (-180 to +180). Planetodetic latitude is tied to a reference ellipsoid. For a point, P, on a reference ellipsoid, angle measured from X-Y plane to the surface normal at the point of interest. For other points, equals latitude at the nearest point on the reference ellipsoid. Increases positively northward (-90 to +90). "
"geom:Coordinate_System_Identification:2 geom:coordinate_system_type:2         Value:Planetographic","Value","Planetographic","","","The coordinate system uses planetographic coordinates. For planet and satellite planetographic coordinate systems: Planetographic longitude is usually defined such that the sub-observer longitude increases with time as seen by a distant, fixed observer (0 to 360). The earth, moon and sun are exceptions; planetographic longitude is positive east by default (0 to 360). Planetographic latitude is planetodetic latitude (-90 to +90). For dwarf planets, asteroids and comets: there are multiple, inconsistent standards. Currently, for these objects, PDS permits planetographic coordinates to be provided in addition to, not in lieu of, either planetocentric or planetodetic coordinates. "
"geom:Coordinate_System_Identification:2 geom:coordinate_system_time:1        ","Attribute","coordinate_system_time","n/a","geom","The coordinate_system_time provides the instantiation time for the coordinate system. ","geo","ASCII_Date_Time_YMD","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","TIME"
"geom:Polynomial_Coefficients_1:1     ","Class","Polynomial_Coefficients_1","1.0.0.0","geom","The Polynomial_Coefficients_1 class provides a one polynomial coefficient. ","geo","","","","","","","","","","",""
"geom:Polynomial_Coefficients_1:2      geom:c0:1                            ","Attribute","c0","n/a","geom","The first coefficient of a polynomial. ","geo","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Polynomial_Coefficients_2:1     ","Class","Polynomial_Coefficients_2","1.0.0.0","geom","The Polynomial_Coefficients_2 class provides two polynomial coefficients. ","geo","","","","","","","","","","",""
"geom:Polynomial_Coefficients_2:2      geom:c0:1                            ","Attribute","c0","n/a","geom","The first coefficient of a polynomial. ","geo","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Polynomial_Coefficients_2:2      geom:c1:1                            ","Attribute","c1","n/a","geom","The second coefficient of a polynomial. ","geo","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Polynomial_Coefficients_3:1     ","Class","Polynomial_Coefficients_3","1.0.0.0","geom","The Polynomial_Coefficients_3 class provides three polynomial coefficients. ","geo","","","","","","","","","","",""
"geom:Polynomial_Coefficients_3:2      geom:c0:1                            ","Attribute","c0","n/a","geom","The first coefficient of a polynomial. ","geo","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Polynomial_Coefficients_3:2      geom:c1:1                            ","Attribute","c1","n/a","geom","The second coefficient of a polynomial. ","geo","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Polynomial_Coefficients_3:2      geom:c2:1                            ","Attribute","c2","n/a","geom","The third coefficient of a polynomial. ","geo","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Rotate_From:1                   ","Class","Rotate_From","1.0.0.0","geom","A quaternion rotates one reference frame to another reference frame. The Rotate_From class identifies the initial frame. ","geo","","","","","","","","","","",""
"geom:Rotate_From:2                    geom:frame_spice_name:1              ","Attribute","frame_spice_name","n/a","geom","The frame_spice_name attribute is a NAIF-recognized string identifier for a reference frame associated with the data. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Rotate_From:2                    pds:name:1                          ","Attribute","name","n/a","pds","The name attribute provides a word or combination of words by which the object is known.","pds","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"geom:Rotate_To:1                     ","Class","Rotate_To","1.0.0.0","geom","A quaternion rotates a one reference frame to another reference frame. The Rotate_To class identifies the destination frame. ","geo","","","","","","","","","","",""
"geom:Rotate_To:2                      geom:frame_spice_name:1              ","Attribute","frame_spice_name","n/a","geom","The frame_spice_name attribute is a NAIF-recognized string identifier for a reference frame associated with the data. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Rotate_To:2                      pds:name:1                          ","Attribute","name","n/a","pds","The name attribute provides a word or combination of words by which the object is known.","pds","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"geom:Quaternion_Base:1               ","Class","Quaternion_Base","1.0.0.0","geom","The Quaternion_Base class defines a quaternion that represents rotation between two right-handed reference frames. In this dictionary, quaternions are always constructed so that the application of the quaternion describes the rotation of one frame to a second frame. The two frames and the direction of rotation must be identified unambiguously in the enclosing classes. Quaternions are expressed as a set of four numbers in the order (qcos, qsin1, qsin2, qsin3), where qcos = cos(theta/2) and qsin(n) = sin(theta/2)*a(n). Theta is the angle of rotation and a is the unit vector (x,y,z) around which the rotation occurs. A document providing the full mathematical basis for this construction, along with examples, and a summary of common pitfalls, is in preparation. The current version can be obtained by contacting the PDS Engineering Node. [mkg: When it is finished we'll ingest it into the registry and refer to it by LID] ","geo","","","","","","","","","","",""
"geom:Quaternion_Base:2                geom:qcos:1                          ","Attribute","qcos","n/a","geom","qcos is the scalar component of a quaternion. qcos = cos(theta/2), where theta is the angle of rotation. ","geo","ASCII_Real","1","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"geom:Quaternion_Base:2                geom:qsin1:1                         ","Attribute","qsin1","n/a","geom","qsin1 is the first element of the vector component of a quaternion. qsin1 = x*sin(theta/2) where theta is the angle of rotation and (x,y,z) is the unit vector around which the rotation occurs. ","geo","ASCII_Real","1","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"geom:Quaternion_Base:2                geom:qsin2:1                         ","Attribute","qsin2","n/a","geom","qsin2 is the second element of the vector component of a quaternion. qsin2 = y*sin(theta/2) where theta is the angle of rotation and (x,y,z) is the unit vector around which the rotation occurs. ","geo","ASCII_Real","1","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"geom:Quaternion_Base:2                geom:qsin3:1                         ","Attribute","qsin3","n/a","geom","qsin3 is the third element of the vector component of a quaternion. qsin3 = z*sin(theta/2) where theta is the angle of rotation and (x,y,z) is the unit vector around which the rotation occurs. ","geo","ASCII_Real","1","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"geom:Quaternion_1:1                  ","Class","Quaternion_1","1.0.0.0","geom","Quaternion_1 provides the four elements of a quaternion and its direction of rotation. ","geo","","","","","","","","","","",""
"geom:Quaternion_1:2                   geom:rotation_direction:1            ","Attribute","rotation_direction","n/a","geom","The rotation_direction attribute identifies the direction of the rotation for a specific quaternion. This is used when the two frames involved are unambiguously identifed in the enclosing classes. ","geo","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Quaternion_1:2                   geom:rotation_direction:2             Value:Present to Reference","Value","Present to Reference","","","The quaternion rotates the frame identifed by Present_Coordinate_Space to the frame identified by Reference_Coordinate_Space. "
"geom:Quaternion_1:2                   geom:rotation_direction:2             Value:Reference to Present","Value","Reference to Present","","","The quaternion rotates the frame identifed by Reference_Coordinate_Space to the frame identified by Present_Coordinate_Space. "
"geom:Quaternion_1:2                   geom:rotation_direction:2             Value:Forward","Value","Forward","","","Reference frames are generally defined sequentially from a base reference frame (e.g., base frames might be ICRF, IAU Mars, or the the landing site from which a rover begins its exploration). rotation_direction = Forward corresponds to rotation in the 'direction' from the base frame. "
"geom:Quaternion_1:2                   geom:rotation_direction:2             Value:Reverse","Value","Reverse","","","Reference frames are generally defined sequentially from a base reference frame (e.g., base frames might be ICRF, IAU Mars, or the the landing site from which a rover begins its exploration). rotation_direction = Reverse corresponds to rotation toward the base frame. "
"geom:Quaternion_1:2                   geom:rotation_direction:2             Value:From Base","Value","From Base","","","Reference frames are generally defined sequentially from a base reference frame (e.g., base frames might be ICRF, IAU Mars, or the the landing site from which a rover begins its exploration). rotation_direction = Away From Base corresponds to rotation in the 'direction' from the base frame. "
"geom:Quaternion_1:2                   geom:rotation_direction:2             Value:Toward Base","Value","Toward Base","","","Reference frames are generally defined sequentially from a base reference frame (e.g., base frames might be ICRF, IAU Mars, or the the landing site from which a rover begins its exploration). rotation_direction = Toward Base corresponds to rotation toward the base frame. "
"geom:Quaternion_1:2                   geom:qcos:1                          ","Attribute","qcos","n/a","geom","qcos is the scalar component of a quaternion. qcos = cos(theta/2), where theta is the angle of rotation. ","geo","ASCII_Real","1","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"geom:Quaternion_1:2                   geom:qsin1:1                         ","Attribute","qsin1","n/a","geom","qsin1 is the first element of the vector component of a quaternion. qsin1 = x*sin(theta/2) where theta is the angle of rotation and (x,y,z) is the unit vector around which the rotation occurs. ","geo","ASCII_Real","1","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"geom:Quaternion_1:2                   geom:qsin2:1                         ","Attribute","qsin2","n/a","geom","qsin2 is the second element of the vector component of a quaternion. qsin2 = y*sin(theta/2) where theta is the angle of rotation and (x,y,z) is the unit vector around which the rotation occurs. ","geo","ASCII_Real","1","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"geom:Quaternion_1:2                   geom:qsin3:1                         ","Attribute","qsin3","n/a","geom","qsin3 is the third element of the vector component of a quaternion. qsin3 = z*sin(theta/2) where theta is the angle of rotation and (x,y,z) is the unit vector around which the rotation occurs. ","geo","ASCII_Real","1","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"geom:Quaternion_2:1                  ","Class","Quaternion_2","1.0.0.0","geom","Quaternion_2 provides the four elements of a quaternion and identifies the initial (Rotate_From)and final (Rotate_To) frames of the rotation. ","geo","","","","","","","","","","",""
"geom:Quaternion_2:2                   geom:qcos:1                          ","Attribute","qcos","n/a","geom","qcos is the scalar component of a quaternion. qcos = cos(theta/2), where theta is the angle of rotation. ","geo","ASCII_Real","1","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"geom:Quaternion_2:2                   geom:qsin1:1                         ","Attribute","qsin1","n/a","geom","qsin1 is the first element of the vector component of a quaternion. qsin1 = x*sin(theta/2) where theta is the angle of rotation and (x,y,z) is the unit vector around which the rotation occurs. ","geo","ASCII_Real","1","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"geom:Quaternion_2:2                   geom:qsin2:1                         ","Attribute","qsin2","n/a","geom","qsin2 is the second element of the vector component of a quaternion. qsin2 = y*sin(theta/2) where theta is the angle of rotation and (x,y,z) is the unit vector around which the rotation occurs. ","geo","ASCII_Real","1","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"geom:Quaternion_2:2                   geom:qsin3:1                         ","Attribute","qsin3","n/a","geom","qsin3 is the third element of the vector component of a quaternion. qsin3 = z*sin(theta/2) where theta is the angle of rotation and (x,y,z) is the unit vector around which the rotation occurs. ","geo","ASCII_Real","1","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"geom:SPICE_Kernel_Identification:1   ","Class","SPICE_Kernel_Identification","1.0.0.0","geom","The SPICE_Kernel_Identification class optionally includes the SPICE kernel type and provides two alternatives for identifying the product: LIDVID using Internal_Reference, and the file name of the kernel file. Although optional, LIDVID should be given if one is available. ","geo","","","","","","","","","","",""
"geom:SPICE_Kernel_Identification:2    pds:kernel_type:1                   ","Attribute","kernel_type","n/a","pds","The kernel_type attribute identifies the type of SPICE kernel.","pds","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"geom:SPICE_Kernel_Identification:2    pds:kernel_type:2                    Value:CK","Value","CK","","","SPICE_Kernel is type CK (orientation kernel)"
"geom:SPICE_Kernel_Identification:2    pds:kernel_type:2                    Value:DBK","Value","DBK","","","SPICE_Kernel is type DBK (database kernel)"
"geom:SPICE_Kernel_Identification:2    pds:kernel_type:2                    Value:DSK","Value","DSK","","","SPICE_Kernel is type DSK (digital shape kernel)"
"geom:SPICE_Kernel_Identification:2    pds:kernel_type:2                    Value:EK","Value","EK","","","SPICE_Kernel is type EK (events kernel)"
"geom:SPICE_Kernel_Identification:2    pds:kernel_type:2                    Value:FK","Value","FK","","","SPICE_Kernel is type FK (frames kernel)"
"geom:SPICE_Kernel_Identification:2    pds:kernel_type:2                    Value:IK","Value","IK","","","SPICE_Kernel is type IK (instrument kernel)"
"geom:SPICE_Kernel_Identification:2    pds:kernel_type:2                    Value:LSK","Value","LSK","","","SPICE_Kernel is type LSK (leap seconds kernel)"
"geom:SPICE_Kernel_Identification:2    pds:kernel_type:2                    Value:MK","Value","MK","","","SPICE_Kernel is type MK (meta kernel, which names SPICE kernels to be used together)"
"geom:SPICE_Kernel_Identification:2    pds:kernel_type:2                    Value:PCK","Value","PCK","","","SPICE_Kernel is type PCL (planetary constants kernel)"
"geom:SPICE_Kernel_Identification:2    pds:kernel_type:2                    Value:SCLK","Value","SCLK","","","SPICE_Kernel is type SCLK (spacecraft clock kernel)"
"geom:SPICE_Kernel_Identification:2    pds:kernel_type:2                    Value:SPK","Value","SPK","","","SPICE_Kernel is type SPK (ephemeris kernel)"
"geom:SPICE_Kernel_Identification:2    geom:spice_kernel_file_name:1        ","Attribute","spice_kernel_file_name","n/a","geom","The spice_kernel_file_name attribute provides the file name of a SPICE kernel file used to process the data or to produce geometric quantities given in the label. ","geo","ASCII_File_Name","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:SPICE_Kernel_Files:1            ","Class","SPICE_Kernel_Files","1.0.0.0","geom","The SPICE_Kernel_Files class provides references to the SPICE files used when calculating geometric values. ","geo","","","","","","","","","","",""
"geom:SPICE_Kernel_Files:2             pds:comment:1                       ","Attribute","comment","n/a","pds","The comment attribute is a character string expressing one or more remarks or thoughts relevant to the object.","pds","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"geom:List_Index_Angle:1              ","Class","List_Index_Angle","1.0.0.0","geom","Used when the list values are angles. ","geo","","","","","","","","","","",""
