"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"disp:Movie_Display_Settings:1        ","Class","Movie_Display_Settings","1.0.0.0","disp","The Movie_Display_Settings class provides default values for the display of a multi-banded Array using a software application capable of displaying video content.","img","","","","","","","","","","",""
"disp:Movie_Display_Settings:2         disp:time_display_axis:1             ","Attribute","time_display_axis","n/a","disp","The time_display_axis attribute identifies, by name, the axis of an Array (or Array subclass), the bands of which are intended to be displayed sequentially in time on a display device. The frame_rate attribute, if present, provides the rate at which these bands are to be displayed.","img","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"disp:Movie_Display_Settings:2         pds:comment:1                       ","Attribute","comment","n/a","pds","The comment attribute is a character string expressing one or more remarks or thoughts relevant to the object.","pds","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"disp:Movie_Display_Settings:2         disp:frame_rate:1                    ","Attribute","frame_rate","n/a","disp","The frame_rate attribute indicates the number of still pictures (or frames) that should be displayed per unit of time in a video. Note this is NOT necessarily the same as the rate at which the images were acquired.","img","ASCII_Real","0","1","1.0","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Frame_Rate","none","TBD_classConcept","REAL"
"disp:Movie_Display_Settings:2         disp:loop_flag:1                     ","Attribute","loop_flag","n/a","disp","The loop_flag attribute specifies whether or not a movie object should be played repeatedly without prompting from the user.","img","ASCII_Boolean","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","BOOLEAN"
"disp:Movie_Display_Settings:2         disp:loop_flag:2                      Value:true","Value","true","","","The movie should be "looped" or played repeatedly."
"disp:Movie_Display_Settings:2         disp:loop_flag:2                      Value:false","Value","false","","","The movie should be not be "looped" or played repeatedly."
"disp:Movie_Display_Settings:2         disp:loop_count:1                    ","Attribute","loop_count","n/a","disp","The loop_count attribute specifies the number of times a movie should be "looped" or replayed before stopping.","img","ASCII_Integer","0","1","1","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"disp:Movie_Display_Settings:2         disp:loop_delay:1                    ","Attribute","loop_delay","n/a","disp","The loop_delay attribute specifies the amount of time to pause between "loops" or repeated playbacks of a movie.","img","ASCII_Real","0","1","0.0","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"disp:Movie_Display_Settings:2         disp:loop_back_and_forth_flag:1      ","Attribute","loop_back_and_forth_flag","n/a","disp","The loop_back_and_forth_flag attribute specifies whether or not a movie should only be "looped" or played repeatedly in the forward direction, or whether it should be played forward followed by played in reverse, iteratively.","img","ASCII_Boolean","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","BOOLEAN"
"disp:Movie_Display_Settings:2         disp:loop_back_and_forth_flag:2       Value:true","Value","true","","","When looping, the movie should be played in the forward direction, followed by the reverse direction, iteratively."
"disp:Movie_Display_Settings:2         disp:loop_back_and_forth_flag:2       Value:false","Value","false","","","When looping, the movie should only be played in the forward direction. This is the default behavior."
